Positive Similarity	Negative Similarity
55761776.0	17389.349609375
55535568.0	17073.859375
53666652.0	15235.8994140625
53513800.0	15101.306640625
53930008.0	13476.7373046875
53584048.0	14754.7109375
53930392.0	14782.8857421875
53005304.0	14716.8203125
52979708.0	15176.880859375
53250280.0	16475.5703125
54893420.0	16375.0380859375
56012244.0	19953.1640625
55835824.0	21045.05859375
55543016.0	20420.890625
55627872.0	18743.36328125
57286012.0	18812.13671875
57596776.0	19391.0625
58418444.0	20160.037109375
58730052.0	19277.21484375
58175248.0	23973.431640625
59797348.0	21680.55859375
58352224.0	18563.65234375
58753560.0	21375.900390625
58615684.0	21510.666015625
57575516.0	20446.41015625
58263160.0	18767.423828125
58285064.0	20531.0078125
58677640.0	20437.54296875
58406308.0	22160.97265625
57712580.0	20836.181640625
57202668.0	19336.12109375
56565452.0	16917.9609375
57392580.0	17396.326171875
58200028.0	17620.787109375
57717036.0	18813.65625
57485936.0	18159.046875
57626276.0	19629.150390625
58801944.0	20026.94921875
59886420.0	18766.642578125
60837396.0	22725.021484375
62096912.0	23909.01953125
60915804.0	22891.421875
60333892.0	19986.109375
59931556.0	21117.107421875
61374024.0	21805.533203125
61450940.0	23312.248046875
60448216.0	22904.140625
61318352.0	20835.05859375
59549676.0	17878.228515625
59214960.0	18654.45703125
59823820.0	19338.015625
61451248.0	20787.90234375
60076988.0	19866.439453125
59871004.0	18877.28125
